Date,B_Open,B_High,B_Low,B_Close,B_Volume,B_Value,B_weighted_Price,Inflation,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adj_Close,DJ_Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Fed
2011-11-20,2.37,2.37,2.37,2.37,11,26.07,2.37,3.4,11768.98,11854.81,11755.82,11796.16,11796.16,181240000,1725.2,1735.5,1714.1,1724.2,0.08
2011-11-21,2.45,3,2.25,2.25,290.53,707.52,2.44,3.4,11795.55,11795.7,11454.07,11547.31,11547.31,170960000,1719.8,1719.8,1670.2,1677.7,0.08
2011-11-22,2.53,2.59,2.46,2.59,328.49,811.14,2.47,3.4,11542.39,11571.75,11433.97,11493.72,11493.72,148570000,1688.7,1705.6,1687.9,1701.5,0.08
2011-11-24,2.54,3,2.54,3,9.14,26.25,2.87,3.4,11492.74,11492.82,11257.55,11257.55,11257.55,152220000,1701.4,1702,1679.3,1695,0.09
2011-11-25,2.5,15,2.5,2.75,179.79,566.88,3.15,3.4,11251.88,11361.47,11231.43,11231.65,11231.65,87480000,1683.9,1697.8,1673.3,1685,0.07
2011-11-26,2.77,2.77,2.77,2.77,10.09,27.95,2.77,3.4,11251.88,11361.47,11231.43,11231.65,11231.65,87480000,1683.9,1697.8,1673.3,1685,0.07
2011-11-28,2.67,2.78,2.66,2.66,180.37,486.85,2.7,3.4,11232.47,11562.1,11232.16,11523.01,11523.01,204950000,1707.2,1719.2,1706.5,1710.8,0.08
2011-11-29,2.69,3.23,2.69,2.72,62.46,173.27,2.77,3.4,11523.01,11624.01,11517.04,11555.63,11555.63,156950000,1708.1,1718.29,1704.3,1715.2,0.08
2011-11-30,3.19,3.19,3.19,3.19,14.54,46.38,3.19,3.4,11559.27,12045.68,11559.27,12045.68,12045.68,286790000,1709.3,1750.3,1705.3,1746.6,0.1
2011-12-01,3.46,3.48,3.3,3.42,233.78,805.79,3.45,3,12046.21,12062.64,11974.62,12020.03,12020.03,143700000,1742.7,1752.9,1474.5,1736.1,0.08
2011-12-02,3.45,3.45,3.04,3.04,131.76,414.65,3.15,3,12022.37,12146.68,12007.12,12019.42,12019.42,150110000,1745.8,1762.93,1743.3,1747.6,0.08
2011-12-03,2.93,2.93,2.93,2.93,0.5,1.47,2.93,3,12022.37,12146.68,12007.12,12019.42,12019.42,150110000,1745.8,1762.93,1743.3,1747.6,0.08
2011-12-05,2.82,2.99,2.82,2.93,207.36,612.08,2.95,3,12021.54,12186.53,12021.46,12097.83,12097.83,153830000,1745.8,1746.8,1716.8,1730.8,0.08
2011-12-06,2.9,3.25,2.89,2.98,216.11,659.73,3.05,3,12097.75,12215.71,12076.71,12150.13,12150.13,145920000,1717.3,1732.8,1703.3,1728.1,0.08
2011-12-07,3.05,3.35,3.05,3.3,233.21,746.12,3.2,3,12144.41,12257.67,12060.37,12196.37,12196.37,168440000,1732.1,1743.3,1721.8,1741.1,0.08
2011-12-08,3.27,3.5,2.95,3.3,115.72,366.56,3.17,3,12195.91,12195.91,11966.22,11997.7,11997.7,165880000,1738.6,1743.1,1705.6,1709.7,0.07
2011-12-10,3.2,3.2,3,3.2,12.28,38.31,3.12,3,11996.03,12212.83,11995.51,12184.26,12184.26,154250000,1709.8,1722.2,1707.2,1713.1,0.07
2011-12-11,3.17,3.37,3.17,3.27,157.78,517.14,3.28,3,11996.03,12212.83,11995.51,12184.26,12184.26,154250000,1709.8,1722.2,1707.2,1713.1,0.07
2011-12-12,3.37,3.6,3.37,3.48,75.62,265.34,3.51,3,12181.08,12181.38,11940.86,12021.39,12021.39,149050000,1686.2,1688.6,1653.5,1664.5,0.07
2011-12-13,3.25,3.59,3.25,3.56,66.15,228.23,3.45,3,12018.66,12147.7,11904.38,11954.94,11954.94,171910000,1657.6,1676.5,1624,1660.1,0.07
2011-12-14,3.42,3.49,3.42,3.47,90.76,312.38,3.44,3,11949.72,11950.02,11786.47,11823.48,11823.48,161240000,1635.2,1676.8,1567.3,1583.9,0.07
2011-12-15,3.39,3.45,3.39,3.45,102.74,352.96,3.44,3,11825.29,11967.84,11825.22,11868.81,11868.81,136930000,1576,1592.9,1564.2,1574.2,0.07
2011-12-16,3.25,3.5,3.25,3.44,84.61,291.12,3.44,3,11870.25,11968.18,11819.31,11866.39,11866.39,389520000,1592.1,1593.6,1587.6,1594.9,0.07
2011-12-18,3.25,3.5,3.25,3.5,17.24,58.59,3.4,3,11870.25,11968.18,11819.31,11866.39,11866.39,389520000,1592.1,1593.6,1587.6,1594.9,0.07
2011-12-19,3.5,3.98,3.5,3.85,134.73,513.29,3.81,3,11866.54,11925.88,11735.19,11766.26,11766.26,135170000,1592.1,1593.6,1587.6,1594.9,0.07
2011-12-20,4.75,4.75,4.53,4.55,94.74,432.98,4.57,3,11769.21,12117.13,11768.83,12103.58,12103.58,165180000,1601,1629.7,1600,1615.1,0.07
2011-12-21,4.38,4.38,4.38,4.38,20.9,91.54,4.38,3,12103.58,12119.7,11999.44,12107.74,12107.74,163250000,1630.8,1639.2,1607.2,1611.9,0.07
2011-12-22,4.19,4.19,4.17,4.17,8.54,35.71,4.18,3,12107.59,12182.71,12107.37,12169.65,12169.65,151610000,1630.8,1639.2,1607.2,1611.9,0.07
2011-12-23,3.86,4.35,3.84,4.22,149.49,625.81,4.19,3,12169.88,12297.44,12169.8,12294,12294,80420000,1613,1613,1603.2,1604.3,0.08
2011-12-24,4.33,4.33,4.33,4.33,27.22,117.88,4.33,3,12169.88,12297.44,12169.8,12294,12294,80420000,1613,1613,1603.2,1604.3,0.08
2011-12-25,4.32,4.32,4.27,4.27,24.18,104.08,4.3,3,12169.88,12297.44,12169.8,12294,12294,80420000,1613,1613,1603.2,1604.3,0.08
2011-12-26,4.27,4.33,4.27,4.33,56.74,243.74,4.3,3,12169.88,12297.44,12169.8,12294,12294,80420000,1613,1613,1603.2,1604.3,0.08
2011-12-27,4.33,4.33,4.29,4.29,58.07,250.34,4.31,3,12293.47,12328.47,12269.97,12291.35,12291.35,95980000,1596.2,1600.1,1588.8,1593.8,0.07
2011-12-28,4.29,4.3,4.25,4.3,35.55,151.72,4.27,3,12288.85,12299.11,12140.17,12151.41,12151.41,84010000,1587.2,1591.2,1549.8,1562.4,0.07
2011-12-29,4.3,4.5,4.3,4.5,36.56,158.98,4.35,3,12152.32,12293.96,12152.09,12287.04,12287.04,8410000,1551.4,1562.5,1523.3,1539.2,0.07
2011-12-30,4.26,4.5,4.21,4.21,56.74,240.14,4.23,3,12286.28,12290.06,12213.78,12217.56,12217.56,96670000,1561.7,1580,1558.2,1565.6,0.04
2011-12-31,4.39,4.58,4.39,4.58,95.32,425.32,4.46,3,12286.28,12290.06,12213.78,12217.56,12217.56,96670000,1561.7,1580,1558.2,1565.6,0.04
2012-01-01,4.58,5,4.58,5,21.6,105.78,4.9,2.9,12286.28,12290.06,12213.78,12217.56,12217.56,96670000,1561.7,1580,1558.2,1565.6,0.04
2012-01-02,5,5,5,5,19.05,95.24,5,2.9,12286.28,12290.06,12213.78,12217.56,12217.56,96670000,1563.15,1571.81,1563.15,1571,0.04
2012-01-03,5.32,5.32,5.14,5.29,88.04,464.81,5.28,2.9,12221.19,12479.65,12221.19,12397.38,12397.38,152560000,1571.83,1607.39,1570.7,1606.19,0.07
2012-01-04,4.93,5.57,4.93,5.57,107.23,568.08,5.3,2.9,12392.46,12430,12337.25,12418.42,12418.42,145130000,1608.35,1618.58,1593.11,1611.48,0.07
2012-01-05,5.72,6.65,5.72,6.65,94.8,587.73,6.2,2.9,12418.42,12435.98,12283.9,12415.7,12415.7,158440000,1611.52,1625.65,1596.97,1621.25,0.07
2012-01-06,6.65,6.9,6,6,33.88,222.81,6.58,2.9,12407.45,12415.24,12332.41,12359.92,12359.92,131120000,1619.93,1630.94,1609.14,1616.98,0.07
2012-01-07,6.8,6.8,6.8,6.8,0.3,2.01,6.8,2.9,12407.45,12415.24,12332.41,12359.92,12359.92,131120000,1619.93,1630.94,1609.14,1616.98,0.07
2012-01-08,6.9,7,6.9,7,5,34.6,6.92,2.9,12407.45,12415.24,12332.41,12359.92,12359.92,131120000,1619.93,1630.94,1609.14,1616.98,0.07
2012-01-09,6.99,6.99,6.23,6.3,66.87,443.04,6.63,2.9,12359.31,12409.08,12333.85,12392.69,12392.69,122200000,1612.83,1623.49,1605.26,1611.19,0.08
2012-01-10,6.24,7.14,6.24,7.14,62.29,413.2,6.63,2.9,12394.51,12514.69,12394.51,12462.47,12462.47,141230000,1612.18,1639.88,1611.73,1634.27,0.08
2012-01-11,7.14,7.33,6.25,7,105.36,743.01,7.05,2.9,12459.52,12462.58,12399.01,12449.45,12449.45,130260000,1635.03,1647.23,1630.4,1642.88,0.08
2012-01-12,6.95,7.38,6.51,6.51,82.3,598.06,7.27,2.9,12449.91,12483.7,12385.08,12471.02,12471.02,128230000,1643.15,1662.09,1640.35,1640.35,0.08
2012-01-13,6.8,7.36,6.6,6.6,48.97,344.94,7.04,2.9,12469.96,12470.12,12311.79,12422.06,12422.06,161470000,1647.91,1649.72,1625.57,1639.06,0.09
2012-01-14,6.5,6.5,6.3,6.3,16.84,108.49,6.44,2.9,12469.96,12470.12,12311.79,12422.06,12422.06,161470000,1647.91,1649.72,1625.57,1639.06,0.09
2012-01-15,7.15,7.15,7.15,7.15,16.7,119.4,7.15,2.9,12469.96,12470.12,12311.79,12422.06,12422.06,161470000,1647.91,1649.72,1625.57,1639.06,0.09
2012-01-16,6.2,7.1,6.2,7.1,12.65,86.75,6.86,2.9,12469.96,12470.12,12311.79,12422.06,12422.06,161470000,1634.58,1647.13,1631.63,1644.33,0.09
2012-01-17,6.5,6.9,6,6,80.51,493.41,6.13,2.9,12423.12,12573.65,12423.12,12482.07,12482.07,148670000,1644.14,1667.65,1644.04,1654.67,0.09
2012-01-18,5.99,7.1,5.99,7.1,133.45,820.93,6.15,2.9,12474.69,12582.28,12453.2,12578.95,12578.95,154170000,1653.08,1662.46,1643.25,1660.3,0.09
2012-01-19,5.52,7,5.52,6.22,246.72,1542.22,6.25,2.9,12578.19,12625.8,12563.58,12623.98,12623.98,148030000,1659.14,1668.88,1652.9,1655.91,0.1
2012-01-20,6.9,6.95,6.55,6.95,95.83,647.2,6.75,2.9,12623.83,12720.48,12620.76,12720.48,12720.48,255110000,1654.86,1667.01,1645.31,1666.55,0.09
2012-01-21,6.3,6.77,6.28,6.77,81.41,512.26,6.29,2.9,12623.83,12720.48,12620.76,12720.48,12720.48,255110000,1654.86,1667.01,1645.31,1666.55,0.09
