"Date","Open","High","Low","Close"
"Jan 03, 2017","$1,152.10","$1,152.58","$1,149.80","$1,150.30"
"Dec 30, 2016","$1,143.20","$1,162.09","$1,143.20","$1,160.79"
"Dec 29, 2016","$1,139.75","$1,144.37","$1,136.73","$1,142.40"
"Dec 28, 2016","$1,133.52","$1,149.33","$1,131.80","$1,139.34"
"Dec 27, 2016","$1,134.15","$1,134.96","$1,133.29","$1,133.35"
"Dec 23, 2016","$1,131.14","$1,134.15","$1,128.13","$1,128.77"
"Dec 22, 2016","$1,132.13","$1,137.18","$1,129.59","$1,131.05"
"Dec 21, 2016","$1,138.15","$1,139.73","$1,126.00","$1,132.04"
"Dec 20, 2016","$1,135.91","$1,142.35","$1,135.81","$1,138.63"
"Dec 16, 2016","$1,142.95","$1,144.40","$1,120.60","$1,127.89"
"Dec 15, 2016","$1,158.71","$1,165.00","$1,140.09","$1,142.97"
"Dec 13, 2016","$1,163.85","$1,164.90","$1,154.70","$1,158.53"
"Dec 12, 2016","$1,154.89","$1,165.70","$1,152.08","$1,163.20"
"Dec 09, 2016","$1,175.05","$1,178.61","$1,169.50","$1,170.41"
"Dec 08, 2016","$1,169.00","$1,180.30","$1,166.09","$1,175.13"
"Dec 07, 2016","$1,170.24","$1,175.36","$1,167.10","$1,169.49"
"Dec 06, 2016","$1,181.22","$1,181.35","$1,157.50","$1,170.18"
"Dec 02, 2016","$1,172.87","$1,176.60","$1,161.00","$1,173.49"
"Dec 01, 2016","$1,189.20","$1,195.00","$1,168.40","$1,172.68"
"Nov 30, 2016","$1,194.56","$1,194.68","$1,181.54","$1,188.50"
"Nov 29, 2016","$1,187.40","$1,197.70","$1,183.65","$1,194.88"
"Nov 25, 2016","$1,189.40","$1,190.49","$1,181.90","$1,185.92"
"Nov 24, 2016","$1,212.83","$1,215.04","$1,182.10","$1,189.60"
"Nov 23, 2016","$1,216.10","$1,220.90","$1,206.27","$1,212.84"
"Nov 22, 2016","$1,207.04","$1,217.60","$1,207.04","$1,216.34"
"Nov 18, 2016","$1,214.90","$1,215.90","$1,204.30","$1,208.33"
"Nov 17, 2016","$1,227.45","$1,232.98","$1,221.65","$1,226.58"
"Nov 16, 2016","$1,223.70","$1,231.40","$1,219.40","$1,226.90"
"Nov 15, 2016","$1,230.15","$1,230.15","$1,211.70","$1,224.20"
"Nov 11, 2016","$1,275.00","$1,291.80","$1,246.80","$1,260.72"
"Nov 10, 2016","$1,273.18","$1,337.54","$1,269.77","$1,276.00"
"Nov 09, 2016","$1,282.63","$1,290.02","$1,269.80","$1,273.51"
"Nov 08, 2016","$1,289.55","$1,295.77","$1,278.40","$1,282.67"
"Nov 04, 2016","$1,298.21","$1,306.23","$1,286.10","$1,303.10"
"Nov 03, 2016","$1,288.54","$1,307.91","$1,287.50","$1,298.24"
"Nov 02, 2016","$1,276.85","$1,291.90","$1,275.80","$1,289.01"
"Nov 01, 2016","$1,277.79","$1,279.59","$1,270.10","$1,276.77"
"Oct 28, 2016","$1,266.09","$1,272.49","$1,265.21","$1,268.75"
"Oct 26, 2016","$1,274.40","$1,276.35","$1,264.96","$1,265.98"
"Oct 25, 2016","$1,264.55","$1,276.56","$1,262.42","$1,274.36"
"Oct 24, 2016","$1,266.19","$1,271.90","$1,260.90","$1,264.48"
"Oct 21, 2016","$1,270.70","$1,273.73","$1,263.60","$1,266.32"
"Oct 20, 2016","$1,262.55","$1,273.27","$1,260.40","$1,270.59"
"Oct 19, 2016","$1,255.68","$1,267.70","$1,254.30","$1,262.53"
"Oct 18, 2016","$1,251.96","$1,257.20","$1,250.70","$1,255.74"
"Oct 14, 2016","$1,255.40","$1,267.70","$1,253.28","$1,257.89"
"Oct 13, 2016","$1,254.47","$1,262.30","$1,250.40","$1,255.52"
"Oct 12, 2016","$1,259.84","$1,261.90","$1,252.50","$1,254.14"
"Oct 11, 2016","$1,258.32","$1,265.00","$1,227.50","$1,259.50"
"Oct 07, 2016","$1,268.48","$1,269.47","$1,250.03","$1,255.72"
"Oct 06, 2016","$1,267.17","$1,276.95","$1,262.10","$1,268.64"
"Oct 05, 2016","$1,312.91","$1,313.12","$1,267.29","$1,268.20"
"Oct 04, 2016","$1,315.95","$1,319.49","$1,309.58","$1,313.10"
"Sep 30, 2016","$1,322.55","$1,325.80","$1,315.80","$1,322.20"
"Sep 29, 2016","$1,327.41","$1,327.65","$1,318.23","$1,322.50"
"Sep 28, 2016","$1,338.11","$1,339.61","$1,325.30","$1,327.35"
"Sep 27, 2016","$1,338.51","$1,341.96","$1,332.89","$1,338.29"
"Sep 23, 2016","$1,333.13","$1,344.00","$1,331.40","$1,337.28"
"Sep 22, 2016","$1,315.30","$1,342.20","$1,309.58","$1,332.92"
"Sep 21, 2016","$1,313.50","$1,318.00","$1,312.20","$1,315.30"
"Sep 20, 2016","$1,312.35","$1,318.20","$1,309.59","$1,313.41"
"Sep 16, 2016","$1,322.84","$1,327.60","$1,306.90","$1,316.35"
"Sep 15, 2016","$1,319.90","$1,325.96","$1,316.50","$1,322.77"
"Sep 14, 2016","$1,328.88","$1,332.08","$1,315.90","$1,319.95"
"Sep 13, 2016","$1,328.04","$1,337.10","$1,320.60","$1,328.10"
"Sep 08, 2016","$1,344.79","$1,348.97","$1,336.10","$1,338.20"
"Sep 07, 2016","$1,348.11","$1,352.60","$1,343.14","$1,344.70"
"Sep 06, 2016","$1,326.44","$1,351.84","$1,325.10","$1,348.28"
"Sep 05, 2016","$1,324.52","$1,328.50","$1,322.05","$1,326.57"
"Sep 02, 2016","$1,314.33","$1,329.45","$1,308.05","$1,324.95"
"Sep 01, 2016","$1,309.47","$1,319.80","$1,302.76","$1,314.30"
"Aug 31, 2016","$1,312.18","$1,316.14","$1,304.76","$1,309.61"
"Aug 30, 2016","$1,323.11","$1,325.21","$1,309.40","$1,312.38"
"Aug 29, 2016","$1,319.76","$1,327.50","$1,315.38","$1,323.01"
"Aug 25, 2016","$1,325.96","$1,327.10","$1,318.27","$1,321.90"
"Aug 24, 2016","$1,338.17","$1,340.06","$1,323.60","$1,325.76"
"Aug 23, 2016","$1,338.21","$1,344.70","$1,335.50","$1,338.04"
"Aug 22, 2016","$1,337.24","$1,340.02","$1,332.23","$1,338.14"
"Aug 19, 2016","$1,351.50","$1,352.66","$1,338.00","$1,341.14"
"Aug 18, 2016","$1,351.16","$1,356.07","$1,346.29","$1,352.00"
"Aug 17, 2016","$1,346.79","$1,351.70","$1,337.52","$1,351.36"
"Aug 16, 2016","$1,340.79","$1,357.88","$1,340.21","$1,346.79"
"Aug 15, 2016","$1,337.29","$1,348.10","$1,335.90","$1,340.73"
"Aug 12, 2016","$1,338.90","$1,355.91","$1,334.20","$1,335.92"
"Aug 11, 2016","$1,346.74","$1,353.20","$1,336.27","$1,338.80"
"Aug 10, 2016","$1,341.10","$1,357.13","$1,339.60","$1,347.07"
"Aug 09, 2016","$1,335.14","$1,342.55","$1,330.70","$1,341.18"
"Aug 08, 2016","$1,333.09","$1,338.32","$1,330.03","$1,335.13"
"Aug 05, 2016","$1,361.32","$1,364.78","$1,335.00","$1,336.32"
"Aug 04, 2016","$1,349.89","$1,364.90","$1,343.60","$1,360.90"
"Aug 03, 2016","$1,362.05","$1,366.64","$1,354.60","$1,357.60"
"Aug 02, 2016","$1,354.09","$1,367.13","$1,347.27","$1,362.16"
"Aug 01, 2016","$1,349.84","$1,354.92","$1,346.41","$1,354.00"
"Jul 29, 2016","$1,335.50","$1,355.07","$1,330.50","$1,350.67"
"Jul 28, 2016","$1,339.35","$1,345.20","$1,332.70","$1,335.82"
"Jul 27, 2016","$1,319.84","$1,347.50","$1,316.60","$1,338.97"
"Jul 26, 2016","$1,316.64","$1,324.59","$1,314.40","$1,319.77"
"Jul 25, 2016","$1,321.93","$1,323.84","$1,312.70","$1,316.89"
"Jul 22, 2016","$1,333.43","$1,333.84","$1,320.04","$1,322.49"
"Jul 21, 2016","$1,314.43","$1,335.00","$1,311.02","$1,332.50"
"Jul 20, 2016","$1,332.21","$1,336.30","$1,312.00","$1,314.39"
"Jul 19, 2016","$1,328.46","$1,334.46","$1,325.83","$1,331.94"
"Jul 18, 2016","$1,331.51","$1,335.30","$1,323.73","$1,327.78"
